Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BULZ,MicroSectors Solactive FANG & Innovation 3X Leveraged ETN,Equity,"$1,202,700,000",37.64%,"128,445",$144.82,2.36%,No,3x,18.77%,5.33%,142.91%,-19.05%,N/A,$0.00,$0.00,$0.00,$0.00,"$782,203,729.64","$847,001,496.75",Leveraged Equities,2021-08-17,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,4.41,0,N/A,40%,20%,1099,$106.26,$144.13,$142.10,$147.00,57.54,A-,A,N/A,C,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
USD,ProShares Ultra Semiconductors,Equity,"$1,149,590,000",123.48%,"684,002",$121.62,2.93%,No,2x,15.06%,-7.04%,236.11%,47.21%,61.33%,"$294,851,781.00","$4,579,542.00","$22,675,362.00","$281,707,779.00","$289,670,699.00","$386,685,509.00",Leveraged Equities,2007-01-30,0.95%,N/A,$0.03,2023-12-20,$0.03,0.02%,0.00,2.70,37,92.09%,40%,20%,1099,$89.80,$126.66,$119.11,$123.83,53.95,B+,B,B-,C+,B,A-,0.0,N/A,N/A,N/A,N/A,N/A
ROBO,ROBO Global Robotics & Automation Index ETF,Equity,"$1,118,630,000",-3.25%,"74,858",$55.44,-0.09%,No,False,2.29%,-0.23%,12.78%,-6.61%,7.98%,"-$231,185,799.37","-$8,462,948.66","-$25,442,372.94","-$283,304,360.63","-$406,054,772.31","-$521,845,137.04",Global Equities,2013-10-22,0.95%,N/A,$0.03,2023-12-26,$0.03,0.05%,22.93,1.25,80,17.04%,40%,20%,1099,$51.74,$56.42,$55.20,$55.83,55.42,A-,C,B+,C+,C,B+,6.95,57.97%,67.22%,23.63,1.27%,6.83%
IHAK,iShares Cybersecurity & Tech ETF,Equity,"$890,507,000",6.23%,"85,572",$48.26,-1.01%,No,False,1.94%,-1.41%,27.46%,2.36%,14.72%,"$92,061,560.00","-$2,416,045.00","-$2,402,165.00","$130,100,035.00","$158,933,820.00","$704,602,565.00",Technology Equities,2019-06-11,0.47%,N/A,$0.05,2023-12-20,$0.05,0.10%,28.81,0.82,35,45.85%,40%,20%,1099,$45.87,$49.42,$48.04,$48.58,55.85,A-,B+,B-,A-,B,N/A,6.33,39.63%,43.40%,7.78,11.96%,1.92%
SOXS,Direxion Daily Semiconductor Bear 3x Shares,Equity,"$864,976,000",-58.26%,"59,830,672",$21.03,-1.96%,Yes,-3x,-14.73%,-1.26%,-80.01%,-65.10%,-77.32%,"$320,545,795.85","$207,022,450.00","$219,878,350.00","$967,684,845.85","$2,836,740,619.53","$3,233,195,466.89",Inverse Equities,2010-03-11,1.03%,N/A,$0.99,2024-09-24,$0.23,4.63%,0.00,-3.51,1,100.00%,40%,20%,1099,$19.46,$29.45,$20.51,$21.65,44.14,A,C,B+,C,A-,C+,5.46,33.87%,28.10%,1.82,0.00%,0.00%
XNTK,SPDR NYSE Technology ETF,Equity,"$825,244,000",19.75%,"14,677",$195.86,0.20%,No,False,5.02%,2.48%,47.12%,6.70%,22.64%,"$38,131,716.31","-$3,853,154.16","-$5,741,491.24","$51,150,753.87","-$11,239,749.33","-$43,140,459.73",Technology Equities,2000-09-25,0.35%,N/A,$0.83,2024-09-23,$0.21,0.42%,23.44,1.23,36,37.16%,40%,20%,1099,$175.50,$196.81,$195.02,$196.74,59.77,B-,A,A,B,B+,N/A,7.33,77.88%,82.45%,32.13,5.90%,7.87%
PNQI,Invesco NASDAQ Internet ETF,Equity,"$801,323,000",19.63%,"59,452",$43.15,-0.39%,No,False,4.10%,4.10%,43.08%,-4.81%,10.55%,"-$30,001,600.00","-$1,278,120.00","-$9,678,500.00","$11,994,550.00","-$116,174,590.00","-$37,553,980.00",Large Cap Growth Equities,2008-06-12,0.60%,N/A,$0.00,2017-12-18,$0.03,0.00%,47.55,1.15,79,59.76%,40%,20%,1099,$39.14,$43.35,$43.06,$43.30,64.80,B-,C+,B+,C,C,C+,5.81,28.11%,32.90%,13.84,8.94%,0.07%
BUG,Global X Cybersecurity ETF,Equity,"$756,923,000",3.86%,"174,951",$30.44,-1.04%,No,False,1.94%,-2.06%,28.13%,-1.08%,N/A,"$12,263,551.33","-$18,679,692.36","-$32,262,236.62","-$1,911,965.07","$86,088,160.07","$901,020,169.48",Technology Equities,2019-10-25,0.50%,N/A,$0.03,2023-12-28,$0.03,0.10%,41.30,0.86,24,57.92%,40%,20%,1099,$28.79,$31.34,$30.29,$30.66,54.82,A-,B,N/A,B+,B-,N/A,6.37,40.74%,44.31%,5.93,0.00%,0.28%
PSI,Invesco Semiconductors ETF,Equity,"$746,975,000",13.45%,"126,025",$56.11,0.65%,No,False,5.32%,-3.90%,35.73%,7.70%,24.15%,"-$9,664,110.00","-$55,800,200.00","-$51,830,040.00","-$38,312,840.00","-$42,880,726.43","$194,031,213.57",Technology Equities,2005-06-23,0.56%,N/A,$0.11,2024-09-23,$0.01,0.19%,13.39,1.39,31,47.38%,40%,20%,1099,$50.69,$57.82,$55.65,$56.54,51.73,B,B,A,C+,B,C+,6.63,46.73%,52.64%,36.05,0.00%,7.30%
ROM,ProShares Ultra Technology,Equity,"$707,479,000",25.08%,"60,965",$66.35,0.59%,No,2x,6.90%,-0.72%,73.12%,6.24%,34.32%,"-$67,838,081.00","-$621,654.00","-$1,135,008.00","-$114,954,803.00","-$333,032,093.25","$1,226,298,997.37",Leveraged Equities,2007-01-30,0.95%,N/A,$0.05,2024-06-26,$0.04,0.08%,0.00,2.37,75,67.11%,40%,20%,1099,$55.78,$68.67,$65.69,$66.96,55.10,B+,B,B,B,B+,A,7.92,97.04%,95.71%,21.78,1.90%,13.63%
