Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
RWO,SPDR Dow Jones Global Real Estate ETF,Real Estate,"$1,326,330,000",11.35%,"135,855",$47.50,-0.71%,No,False,0.10%,3.43%,29.74%,0.40%,2.12%,"-$48,496,506.85","-$16,728,429.90","-$35,622,364.35","-$57,865,948.85","-$219,266,211.45","-$685,395,716.50",Global Real Estate,2008-05-07,0.50%,2 Platforms,$1.54,2024-09-23,$0.40,3.23%,25.66,0.91,229,37.32%,40%,20%,1099,$45.53,$48.46,$47.28,$47.87,64.33,A-,B+,A,B,A,A-,5.97,21.88%,36.20%,87.15,0.00%,24.72%
REZ,iShares Residential and Multisector Real Estate ETF,Real Estate,"$1,106,990,000",22.79%,"119,954",$89.42,-0.73%,No,False,-0.90%,4.05%,38.32%,3.44%,5.40%,"$299,723,931.05","$58,905,764.45","$225,342,613.70","$313,595,690.05","$36,284,414.95","$510,788,909.95",Real Estate,2007-05-01,0.48%,N/A,$2.11,2024-06-11,$0.39,2.34%,31.57,0.81,40,66.64%,40%,20%,1099,$85.77,$91.94,$89.03,$89.91,63.35,A-,B,A,B+,B-,B+,5.19,8.33%,24.68%,52.47,0.00%,13.72%
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,"$1,088,500,000",13.75%,"184,188",$29.51,-0.54%,No,False,0.16%,3.80%,35.12%,1.56%,4.85%,"-$32,833,660.00","$4,433,575.00","$10,261,390.00","-$77,458,145.00","-$626,575,235.00","$181,095,060.00",Real Estate,2015-02-02,0.08%,Fidelity,$0.93,2024-09-20,$0.22,3.12%,27.22,0.91,149,43.91%,40%,20%,1099,$28.08,$30.06,N/A,N/A,68.65,A,A,B-,C+,B+,A+,6.08,65.00%,38.14%,80.75,3.21%,15.19%
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate,"$892,760,000",15.66%,"23,778",$101.06,-0.46%,No,False,0.24%,3.57%,34.96%,3.99%,5.66%,"-$73,249,500.00",$0.00,"-$39,591,500.00","-$34,848,250.00","-$475,538,750.00","$171,750,750.00",Real Estate,2018-06-15,0.11%,N/A,$3.00,2024-09-24,$0.72,2.96%,0.04,0.92,119,48.07%,40%,20%,1099,$96.48,$102.84,$100.78,$101.45,66.78,B,A,B+,B,B,N/A,5.58,22.78%,29.71%,89.42,4.01%,17.77%
HAUZ,DBX ETF Trust - Xtrackers International Real Estate ETF,Real Estate,"$789,917,000",7.23%,"69,763",$22.98,-1.12%,No,False,1.01%,3.37%,22.76%,-3.58%,-0.56%,"$56,650,250.00",$0.00,"$1,118,250.00","$81,925,500.00","$363,326,000.00","$738,115,250.00",Global Real Estate,2013-10-01,0.10%,N/A,$0.80,2024-06-21,$0.43,3.47%,0.07,0.82,394,22.09%,40%,20%,1099,$21.94,$23.32,$22.93,$23.09,61.90,B+,A+,C,B-,A,N/A,6.63,87.50%,52.64%,70.77,1.06%,28.24%
REM,iShares Mortgage Real Estate ETF,Real Estate,"$696,683,000",2.05%,"403,072",$23.39,-4.18%,No,False,-4.65%,-1.06%,13.01%,-6.37%,-3.05%,"$39,802,540.75","$22,047,959.85","$38,699,900.10","$46,380,312.30","-$391,982,632.50","-$142,278,677.50",Real Estate,2007-05-01,0.48%,N/A,$2.18,2024-06-11,$0.52,8.92%,5.79,1.50,34,66.18%,40%,20%,1099,$23.18,$24.78,$23.23,$23.69,46.30,A,B,C,B+,A,B,3.84,1.67%,3.93%,1.77,0.00%,1.22%
JPRE,JPMorgan Realty Income ETF,Equity,"$397,853,000",15.34%,"25,469",$51.14,-0.43%,No,False,0.19%,4.17%,35.49%,N/A,N/A,"-$17,797,750.00","$2,555,250.00","-$2,380,750.00","-$13,630,750.00","-$987,378,345.05","-$1,395,108,261.99",Real Estate,2022-05-23,0.50%,N/A,$1.09,2024-09-24,$0.28,2.12%,16.95,1.40,29,59.89%,40%,20%,1099,$48.71,$52.24,$50.96,$51.45,67.67,A-,B+,C,C+,A,N/A,6.51,93.89%,48.56%,118.32,4.30%,21.45%
GQRE,FlexShares Global Quality Real Estate Index Fund,Real Estate,"$389,999,000",13.14%,"18,088",$62.13,-0.80%,No,False,0.24%,3.17%,30.24%,0.01%,2.09%,"$41,364,935.00","$9,368,240.00","$25,015,915.00","$31,398,330.00","$31,640,730.00","$71,047,920.00",Global Real Estate,2013-11-05,0.45%,N/A,$1.41,2024-09-20,$0.41,2.25%,19.47,0.91,145,33.20%,40%,20%,1099,$59.55,$63.19,$61.97,$62.39,64.75,B,A-,B+,B+,B,N/A,6.0,23.96%,36.70%,85.84,2.05%,23.80%
MORT,VanEck Mortgage REIT Income ETF,Real Estate,"$315,042,000",5.49%,"279,646",$11.88,-2.06%,No,False,-2.54%,1.11%,17.45%,-4.83%,-2.95%,"$50,399,725.00","$3,069,050.00","$11,972,965.00","$88,506,370.00","$92,246,220.00","$219,416,111.55",Real Estate,2011-08-16,0.43%,N/A,$1.23,2024-07-01,$0.25,10.16%,8.05,1.51,26,65.45%,40%,20%,1099,$11.50,$12.31,$11.80,$12.04,52.76,B+,B+,C,B+,A,C+,3.99,2.78%,4.60%,1.76,0.00%,1.01%
RWX,SPDR Dow Jones International Real Estate ETF,Real Estate,"$303,317,000",3.69%,"45,745",$27.43,-0.94%,No,False,-0.05%,2.35%,19.57%,-4.79%,-1.94%,"-$27,265,538.25",$0.00,"$4,089,820.20","-$48,777,437.10","-$402,247,272.50","-$1,283,611,101.60",Global Real Estate,2006-12-14,0.59%,TD Ameritrade,$0.90,2024-09-23,$0.29,3.28%,15.81,0.84,124,26.85%,40%,20%,1099,$26.57,$28.04,$27.33,$27.64,59.71,A,B-,B,A+,A-,B+,6.94,93.75%,66.93%,62.66,0.00%,39.34%
