Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QQQE,Direxion NASDAQ-100 Equal Weighted Index Shares,"$1,175,750",6.29%,"333,137",$89.43,-0.33%,1.62%,1.57%,22.46%,3.39%,14.28%,"$15,170,450.00","-$44,360,900.00","-$187,937,800.00","$181,383,500.00","$622,030,350.00","$665,940,600.00",Large Cap Growth Equities,2012-03-21,0.35%,Charles Schwab,$0.78,2024-09-24,$0.16,0.87%,0.03,1.05,102,10.59%,40%,20%,1099,$85.29,$90.64,N/A,N/A,55.72,B,A-,B,A-,C+,B-,B-,6.95,81.01%,67.43%,115.48,5.06%,6.26%
USXF,iShares ESG Advanced MSCI USA ETF,"$1,168,660",23.25%,"61,528",$48.87,-0.39%,2.15%,1.56%,43.57%,10.38%,N/A,"$143,152,473.90","$4,840,983.20","$14,264,176.80","$168,417,671.20","$465,869,806.45","$856,776,826.45",Large Cap Growth Equities,2020-06-16,0.10%,N/A,$0.49,2024-06-11,$0.09,1.00%,22.40,1.03,349,30.90%,40%,20%,1099,$45.81,$49.57,$48.72,$49.04,57.88,B+,B+,A-,N/A,B,B-,N/A,7.74,98.83%,92.59%,61.96,0.57%,17.86%
FTC,First Trust Large Cap Growth AlphaDEX Fund,"$1,158,620",19.36%,"19,309",$130.70,-0.10%,2.50%,3.88%,37.01%,4.25%,13.91%,"-$62,328,650.00",$0.00,"$12,720,200.00","-$149,474,300.00","-$249,014,300.00","-$499,969,050.00",Large Cap Growth Equities,2007-05-08,0.60%,N/A,$0.40,2024-06-27,$0.05,0.30%,15.60,1.04,188,10.54%,40%,20%,1099,$120.56,$131.92,$130.13,$131.42,64.43,B-,B,C+,B-,B-,C+,B,6.47,16.38%,47.16%,155.08,9.52%,5.50%
JMOM,JPMorgan U.S. Momentum Factor ETF,"$1,139,420",25.05%,"61,026",$56.89,-0.05%,2.50%,3.52%,40.69%,8.71%,15.72%,"$613,625,750.00","$500,250.00","$12,774,250.00","$653,104,750.00","$750,921,250.00","$805,119,250.00",Large Cap Growth Equities,2017-11-08,0.12%,N/A,$0.44,2024-09-24,$0.11,0.78%,16.42,1.00,275,18.86%,40%,20%,1099,$52.88,$57.41,$56.77,$57.04,63.84,B,B,A-,B-,B-,B,N/A,6.62,31.34%,52.27%,105.8,9.01%,5.27%
SUSL,iShares ESG MSCI USA Leaders ETF,"$1,124,840",20.28%,"28,172",$100.98,-0.37%,1.45%,1.96%,35.93%,10.14%,16.11%,"-$197,064,733.30","$15,149,976.20","$20,100,159.85","-$279,714,309.00","-$3,016,384,909.70","-$1,810,944,394.70",Large Cap Growth Equities,2019-05-07,0.10%,N/A,$1.07,2024-06-11,$0.22,1.06%,21.87,1.00,295,41.46%,40%,20%,1099,$95.30,$102.40,N/A,N/A,58.35,A,A-,A-,N/A,B+,B+,N/A,7.62,97.99%,90.24%,58.35,0.91%,11.67%
IYC, iShares U.S. Consumer Discretionary ETF,"$1,111,870",16.30%,"147,815",$87.88,-0.49%,2.86%,6.28%,33.41%,3.91%,10.81%,"$69,594,125.90","$65,142,250.50","-$33,974,126.65","$122,566,136.15","-$270,587,722.90","-$315,481,332.90",Large Cap Growth Equities,2000-06-12,0.39%,N/A,$0.51,2024-06-11,$0.10,0.58%,22.51,1.13,177,51.66%,40%,20%,1099,$80.43,$88.50,N/A,N/A,65.73,B,A-,B,C+,C+,A-,B,6.01,42.93%,36.86%,52.7,15.89%,0.60%
ILCB,iShares Morningstar U.S. Equity ETF,"$1,092,500",20.37%,"49,420",$78.71,-0.59%,1.51%,2.07%,35.47%,9.27%,15.03%,"$83,743,763.10","$3,945,478.15","$11,532,389.45","$87,030,695.30","-$27,175,086.90","-$930,702,454.40",Large Cap Growth Equities,2004-06-28,0.03%,N/A,$0.97,2024-06-11,$0.20,1.22%,19.53,1.01,618,33.06%,40%,20%,1099,$74.74,$79.71,$78.54,$78.91,59.55,N/A,B-,A,N/A,B,N/A,N/A,6.66,37.49%,53.93%,94.4,10.52%,7.08%
USSG,Xtrackers MSCI USA ESG Leaders Equity ETF,"$1,057,270",20.70%,"30,737",$52.98,0.00%,1.91%,2.22%,36.40%,10.24%,16.19%,"-$110,827,450.00",$0.00,"-$2,503,000.00","-$467,760,950.00","-$2,906,826,750.00","-$1,783,411,850.00",Large Cap Growth Equities,2019-03-07,0.09%,N/A,$0.65,2024-09-20,$0.16,1.23%,0.03,0.99,297,41.18%,40%,20%,1099,$49.83,$53.57,$52.89,$53.12,59.77,A-,B+,A-,B+,B+,B+,N/A,7.64,98.18%,90.68%,56.57,0.85%,12.28%
FQAL,Fidelity Quality Factor ETF,"$1,049,590",19.61%,"42,889",$64.43,-0.29%,1.80%,1.97%,32.72%,9.15%,14.71%,"$501,709,285.95","-$3,220,260.95","-$6,326,837.85","$546,592,330.05","$661,623,052.15","$662,474,392.15",Large Cap Growth Equities,2016-09-12,0.15%,N/A,$0.72,2024-09-20,$0.20,1.11%,16.83,0.98,130,34.59%,40%,20%,1099,$61.19,$65.07,$64.29,$64.62,61.12,B+,B,B,B-,A-,A-,B-,6.73,56.04%,57.82%,117.17,6.63%,7.88%
TMFC,Motley Fool 100 Index ETF,"$1,017,670",25.71%,"103,026",$56.13,0.09%,2.58%,3.03%,43.89%,10.81%,20.60%,"$197,146,000.00","$8,375,500.00","$39,922,000.00","$236,714,750.00","$274,512,750.00","$428,404,750.00",Large Cap Growth Equities,2018-01-29,0.50%,N/A,$0.06,2023-12-13,$0.06,0.11%,0.03,1.08,102,56.22%,40%,20%,1099,$52.58,$56.56,$56.01,$56.24,61.31,B,B,B-,A,B-,C+,N/A,6.55,22.85%,49.81%,37.35,10.13%,8.38%
