Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
QGRW,WisdomTree U.S. Quality Growth Fund,"$491,503",24.63%,"68,125",$45.59,0.09%,3.05%,3.36%,45.34%,N/A,N/A,"$314,713,395.00","$2,238,220.00","$7,708,195.00","$365,152,392.50","$412,950,303.18","$412,950,303.18",Large Cap Growth Equities,2022-12-15,0.28%,N/A,$0.04,2023-12-22,$0.04,0.09%,30.89,-1.25,101,59.97%,40%,20%,1099,$42.00,$46.10,$45.44,$45.73,59.01,B+,B+,A-,N/A,A-,C+,N/A,6.8,66.54%,60.64%,22.87,5.46%,10.78%
ROUS,Hartford Multifactor US Equity ETF,"$457,014",17.74%,"22,245",$51.45,-0.45%,1.04%,1.34%,29.96%,9.78%,11.98%,"-$7,687,087.50",$0.00,"$6,178,985.00","-$39,460,497.50","-$41,378,457.50","-$13,622,202.50",Large Cap Growth Equities,2015-02-25,0.19%,N/A,$0.78,2024-06-27,$0.17,1.52%,16.10,0.93,349,11.07%,40%,20%,1099,$49.46,$52.07,$51.34,$51.67,60.09,A-,B+,B+,C+,A,A,B+,6.78,63.63%,59.75%,138.19,7.67%,3.79%
TTAC,FCF US Quality ETF,"$431,452",14.11%,"11,840",$64.40,-0.83%,0.94%,1.69%,27.05%,8.86%,14.65%,"$31,105,750.00",$0.00,"$1,589,250.00","$160,888,750.00","$162,573,000.00","$179,948,250.00",Large Cap Growth Equities,2016-09-27,0.59%,N/A,$0.31,2024-06-10,$0.11,0.48%,24.32,1.00,146,24.56%,40%,20%,1099,$61.68,$65.28,$64.34,$64.53,59.81,C+,C+,C+,C,A-,C+,C+,6.81,68.14%,61.14%,60.41,3.57%,3.60%
FWD,AB Disruptors ETF,"$422,531",25.16%,"25,505",$78.05,-0.41%,3.57%,2.76%,48.52%,N/A,N/A,"$156,665,596.00","$1,548,680.00","$14,757,317.00","$200,816,434.00","$326,117,807.00","$326,117,807.00",Large Cap Growth Equities,2023-03-22,0.65%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,109,22.18%,40%,20%,1099,$71.73,$79.09,N/A,N/A,57.79,N/A,N/A,B,N/A,N/A,C+,N/A,6.87,28.73%,63.93%,119.2,9.32%,7.58%
LRGE,ClearBridge Large Cap Growth ESG ETF,"$384,398",22.35%,"11,340",$73.02,-0.18%,2.19%,2.58%,42.37%,8.58%,17.01%,"$148,838,267.64","$6,462.20","$6,901,543.87","$160,010,617.97","$177,373,797.29","$108,490,896.85",Large Cap Growth Equities,2017-05-22,0.48%,N/A,$0.06,2023-12-26,$0.06,0.09%,35.03,1.06,41,51.78%,40%,20%,1099,$69.06,$73.65,$72.92,$73.19,60.39,B-,B,C+,A,C+,C+,N/A,7.07,88.63%,72.93%,42.12,9.19%,9.24%
IXP,iShares Global Comm Services ETF,"$376,335",24.90%,"13,182",$92.73,-0.15%,2.65%,4.24%,38.23%,3.67%,11.47%,"$20,437,995.00",$0.00,$0.00,"$3,027,435.00","$17,367,890.00","-$44,331,615.00",Large Cap Growth Equities,2001-11-12,0.41%,N/A,$0.92,2024-06-11,$0.45,0.98%,18.41,0.86,67,72.46%,40%,20%,1099,$85.66,$93.40,$92.62,$92.95,65.08,B,B+,B,A-,B-,B,C,4.89,35.42%,21.33%,15.17,0.00%,0.35%
FNGS,MicroSectors FANG+ ETN,"$372,337",31.35%,"168,783",$49.57,-0.22%,3.08%,5.00%,57.52%,16.23%,N/A,"$119,511,392.96",$0.00,$0.00,"$156,280,438.54","$209,003,932.00","$185,687,879.44",Large Cap Growth Equities,2019-11-12,0.58%,N/A,$0.00,N/A,N/A,0.00%,0.03,1.18,10,100.00%,40%,20%,1099,$45.22,$50.38,$49.40,$49.81,56.42,C,B,C+,N/A,C,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IQSU,IQ Candriam ESG U.S. Large Cap Equity ETF,"$371,266",13.61%,"11,952",$47.30,-0.21%,1.21%,1.72%,28.67%,8.41%,N/A,"-$56,150,841.00",$0.00,"-$10,323,974.25","-$40,494,519.25","-$192,730,874.00","$180,844,917.00",Large Cap Growth Equities,2019-12-17,0.09%,N/A,$0.51,2024-09-20,$0.14,1.08%,20.50,1.05,285,36.62%,40%,20%,1099,$45.16,$47.93,$47.26,$47.36,58.60,B+,B-,A-,N/A,B,B,N/A,7.15,91.27%,76.11%,69.62,1.88%,8.07%
JUST,Goldman Sachs JUST U.S. Large Cap Equity ETF,"$364,578",20.45%,"4,271",$81.17,-0.21%,1.55%,1.96%,35.62%,9.48%,15.45%,"-$9,741,250.00",$0.00,"-$1,996,250.00","$11,016,500.00","$25,057,750.00","$79,494,000.00",Large Cap Growth Equities,2018-06-07,0.20%,N/A,$0.95,2024-09-24,$0.22,1.16%,19.76,1.00,459,36.69%,40%,20%,1099,$77.07,$82.15,$81.00,$81.49,60.44,A-,B-,B+,B+,A-,B+,N/A,6.98,83.19%,68.89%,97.6,9.25%,7.81%
PALC,Pacer Lunt Large Cap Multi-Factor Alternator ETF,"$345,663",20.65%,"39,182",$49.27,-0.18%,0.69%,1.69%,35.00%,8.59%,N/A,"$1,805,500.00",$0.00,"$4,827,940.00","$26,742,690.00","$188,575,440.00","$279,063,585.58",Large Cap Growth Equities,2020-06-24,0.60%,N/A,$0.36,2024-06-27,$0.10,0.74%,0.04,0.95,177,23.54%,40%,20%,1099,$48.13,$49.67,$49.18,$49.38,56.92,B,B,C+,N/A,A,B-,N/A,6.93,79.52%,66.26%,37.87,9.36%,7.26%
BIBL, Inspire 100 ETF,"$343,408",15.86%,"53,611",$40.25,-0.98%,1.34%,1.87%,30.93%,3.14%,12.38%,"-$36,683,500.00","$2,044,000.00","-$5,976,000.00","-$23,459,500.00","$76,750,500.00","$208,755,000.00",Large Cap Growth Equities,2017-10-30,0.35%,N/A,$0.37,2024-06-25,$0.10,0.91%,26.85,1.03,102,31.15%,40%,20%,1099,$38.11,$40.91,$40.08,$40.51,57.95,B,B,B,C+,B-,A,N/A,6.6,28.48%,51.55%,144.02,3.22%,6.61%
NUSI,Nationwide Nasdaq-100 Risk-Managed Income ETF,"$338,062",19.87%,"63,035",$25.49,-0.82%,2.25%,2.55%,36.35%,4.42%,N/A,"-$124,815,000.00","-$2,562,420.00","-$7,546,465.00","-$153,821,665.00","-$139,588,745.00","$504,399,455.00",Large Cap Growth Equities,2019-12-19,0.68%,N/A,$1.80,2024-08-21,$0.16,7.22%,0.03,0.51,105,49.74%,40%,20%,1099,$24.16,$25.81,$25.42,$25.61,59.56,A,A-,C,N/A,A+,A,N/A,6.8,85.14%,60.92%,59.57,6.88%,9.35%
QLC,FlexShares US Quality Large Cap Index Fund,"$316,453",22.48%,"33,502",$64.42,-0.20%,1.76%,1.89%,37.11%,10.90%,15.25%,"$100,212,390.00","$79,196,660.00","$82,269,455.00","$111,571,100.00","$120,179,205.00","$179,523,795.00",Large Cap Growth Equities,2015-09-24,0.25%,N/A,$0.63,2024-09-20,$0.13,0.98%,21.31,1.01,164,35.10%,40%,20%,1099,$61.05,$65.12,$64.32,$64.59,60.80,B,B-,B,C,A-,B+,B-,6.75,59.19%,58.48%,105.36,11.27%,6.24%
GVIP,Goldman Sachs Hedge Industry VIP ETF,"$298,625",24.59%,"11,125",$119.41,-0.06%,2.91%,4.57%,41.67%,5.35%,16.45%,"$97,156,750.00",$0.00,"$2,787,500.00","$97,687,500.00","$56,121,750.00","$122,248,000.00",Large Cap Growth Equities,2016-11-01,0.45%,N/A,$0.74,2023-12-26,$0.74,0.62%,20.20,1.11,51,22.21%,40%,20%,1099,$109.96,$120.31,$119.19,$119.62,65.28,C,C+,B-,C+,C+,C,C,6.21,6.99%,40.99%,229.7,11.73%,3.38%
FDMO,Fidelity Momentum Factor ETF,"$297,108",25.39%,"35,448",$66.03,-0.17%,2.45%,3.63%,43.28%,9.97%,14.53%,"$89,114,310.20","$3,296,872.25","$53,270,137.75","$91,365,813.10","$119,430,258.70","$63,180,538.70",Large Cap Growth Equities,2016-09-12,0.15%,N/A,$0.43,2024-09-20,$0.13,0.65%,20.19,0.96,130,33.90%,40%,20%,1099,$60.59,$67.04,$65.83,$66.38,61.35,B-,B-,B,C+,B-,B-,B-,6.68,40.97%,55.05%,97.75,10.43%,9.43%
GDIV,Harbor Dividend Growth Leaders ETF,"$291,494",14.47%,"40,385",$15.30,-0.07%,1.51%,2.03%,27.96%,N/A,N/A,"$21,842,000.00","$382,000.00","$1,874,500.00","$29,528,500.00","$98,267,500.00","$98,267,500.00",Large Cap Growth Equities,2022-05-23,0.50%,N/A,$0.21,2024-07-01,$0.05,1.36%,22.50,0.88,44,40.12%,40%,20%,1099,$14.50,$15.48,$15.27,$15.33,60.42,N/A,B,B+,N/A,B+,N/A,N/A,6.39,11.78%,45.04%,92.42,2.10%,1.13%
TOK,iShares MSCI Kokusai ETF,"$273,575",18.23%,"14,225",$115.74,-0.22%,1.66%,1.93%,33.27%,8.36%,13.51%,"$44,188,010.00",$0.00,$0.00,"$30,967,895.00","-$64,944,895.00","-$60,191,740.00",Large Cap Growth Equities,2007-12-10,0.26%,N/A,$1.98,2024-06-11,$0.93,1.70%,17.40,0.99,1212,24.90%,40%,20%,1099,$110.20,$116.81,$115.51,$116.13,60.65,B+,C+,B+,C+,A-,A-,A,6.94,34.74%,66.82%,98.62,10.48%,7.69%
VSDA,VictoryShares Dividend Accelerator ETF,"$264,274",11.80%,"10,786",$52.42,-0.79%,-0.07%,1.51%,23.77%,7.81%,11.14%,"-$26,732,015.00",$0.00,$0.00,"-$24,489,805.00","-$107,427,680.00","$11,788,440.00",Large Cap Growth Equities,2017-04-18,0.35%,N/A,$1.10,2024-09-11,$0.14,2.10%,20.58,0.86,75,26.01%,40%,20%,1099,$51.30,$53.07,$52.28,$52.68,59.13,A-,B-,B,A-,A,A-,N/A,6.76,60.61%,58.80%,153.29,7.68%,4.69%
ESPO,VanEck Video Gaming and eSports ETF,"$259,967",31.69%,"18,403",$74.71,-1.32%,4.04%,7.26%,49.25%,5.65%,18.30%,"-$65,313,985.00",$0.00,"$3,501,855.00","-$78,391,930.00","-$353,818,725.00","$95,842,638.75",Large Cap Growth Equities,2017-03-06,0.56%,N/A,$0.54,2023-12-18,$0.54,0.73%,24.34,0.77,27,60.07%,40%,20%,1099,$67.32,$74.95,N/A,N/A,64.87,B-,B,B-,A+,C,C,N/A,6.16,49.49%,39.95%,7.59,8.83%,2.55%
LSGR,Natixis Loomis Sayles Focused Growth ETF,"$255,133",25.53%,"32,649",$35.22,0.11%,2.43%,3.89%,44.46%,N/A,N/A,"$228,059,600.00","$351,666.00","$4,022,128.00","$228,059,600.00","$233,309,575.00","$233,309,575.00",Large Cap Growth Equities,2023-06-29,0.59%,N/A,$0.01,2023-12-22,$0.01,0.03%,N/A,N/A,23,68.93%,40%,20%,1099,$32.45,$35.76,$35.18,$35.30,60.36,C,C,B,N/A,C+,B-,N/A,6.56,23.67%,50.09%,11.4,16.29%,18.57%
SHE,SPDR MSCI USA Gender Diversity ETF,"$253,070",20.56%,"3,454",$113.60,-0.19%,1.60%,2.38%,35.52%,4.28%,10.80%,"-$8,260,693.73",$0.00,"-$545,296.80","-$10,747,174.65","-$41,366,577.25","-$93,234,544.57",Large Cap Growth Equities,2016-03-07,0.20%,N/A,$1.17,2024-09-03,$0.33,1.03%,17.32,1.01,243,36.01%,40%,20%,1099,$108.24,$114.65,$113.39,$113.83,59.10,B-,C+,B+,C,B-,B,B,6.89,76.93%,64.58%,91.4,9.14%,6.92%
FDG,American Century Focused Dynamic Growth ETF,"$237,873",29.99%,"13,674",$92.54,0.52%,3.55%,3.38%,48.98%,2.75%,N/A,"$257,004.00","-$2,740,535.00","-$9,795,369.50","-$11,469,004.00","$4,839,495.00","$129,707,033.00",Large Cap Growth Equities,2020-03-31,0.45%,N/A,$0.00,2020-12-17,$0.01,0.00%,33.10,1.30,40,61.98%,40%,20%,1099,$83.84,$93.45,$92.33,$92.73,60.60,C+,B-,B-,N/A,C,B-,N/A,6.71,50.54%,56.61%,15.24,12.49%,19.72%
ALTL,Pacer Lunt Large Cap Alternator ETF,"$226,393",13.59%,"33,563",$37.94,-0.24%,0.26%,1.07%,13.59%,-2.43%,N/A,"-$148,137,680.00",$0.00,"-$7,567,525.00","-$355,488,765.00","$232,803,000.00","$375,182,836.42",Large Cap Growth Equities,2020-06-24,0.60%,N/A,$0.48,2024-06-27,$0.18,1.28%,0.06,0.91,101,12.15%,40%,20%,1099,$37.43,$38.26,$37.87,$38.06,61.29,B+,A-,C+,N/A,A-,B-,N/A,6.77,62.79%,59.45%,321.93,12.36%,2.76%
COWG,Pacer US Large Cap Cash Cows Growth Leaders ETF,"$224,366",20.00%,"62,882",$28.56,-0.49%,2.15%,3.29%,36.14%,N/A,N/A,"$139,784,402.50","$6,373,565.00","$13,829,592.50","$160,726,722.50","$194,023,984.64","$194,023,984.64",Large Cap Growth Equities,2022-12-21,0.49%,N/A,$0.11,2024-06-27,$0.02,0.39%,0.00,1.07,101,25.25%,40%,20%,1099,$26.12,$29.08,$28.46,$28.68,60.84,B,B+,B+,N/A,B-,B-,N/A,6.83,70.54%,61.92%,84.37,3.78%,10.61%
TGRW,T. Rowe Price Growth Stock ETF,"$224,004",22.70%,"5,675",$37.58,0.11%,2.37%,2.51%,40.28%,3.68%,N/A,"$140,884,841.79",$0.00,"$537,158.16","$143,234,369.94","$159,285,005.69","$180,491,645.15",Large Cap Growth Equities,2020-08-04,0.52%,N/A,$0.00,2023-12-20,$0.00,0.01%,1.95,1.18,68,65.78%,40%,20%,1099,$35.21,$38.00,$37.51,$37.67,58.62,C,B-,B-,N/A,C,C,N/A,6.85,72.93%,62.86%,21.39,9.17%,10.92%
OVL,Overlay Shares Large Cap Equity ETF,"$187,064",24.18%,"59,437",$46.03,-0.30%,1.91%,2.32%,40.66%,9.88%,N/A,"$21,930,423.50","$41,879,218.00","$4,591,580.00","-$8,024,264.00","-$18,812,624.00","$132,623,176.00",Large Cap Growth Equities,2019-09-30,0.87%,N/A,$1.32,2024-07-03,$0.38,2.86%,0.03,1.12,4,100.00%,40%,20%,1099,$42.90,$46.86,$45.92,$46.22,57.65,B+,B+,C,N/A,B,A,N/A,6.69,45.84%,55.85%,96.77,10.72%,7.21%
CWS,AdvisorShares Focused Equity ETF,"$172,196",14.51%,"10,314",$67.93,-0.57%,0.17%,1.39%,31.66%,12.64%,14.45%,"$64,289,997.10","$1,369,895.40","$4,392,825.90","$69,659,690.55","$107,478,958.80","$112,672,133.80",Large Cap Growth Equities,2016-09-20,0.84%,N/A,$0.15,2023-12-26,$0.15,0.21%,0.04,0.93,26,46.25%,40%,20%,1099,$66.18,$68.90,$67.72,$68.30,58.04,B-,C,C,A,A,C+,C,6.11,5.98%,38.67%,38.36,3.55%,1.56%
MFUS,PIMCO RAFI Dynamic Multi-Factor U.S. Equity ETF,"$167,195",20.53%,"7,158",$50.14,-0.50%,1.18%,1.99%,33.45%,10.43%,13.08%,"$9,700,000.00","-$183,000.00","-$183,000.00","$5,673,000.00","$47,453,000.00","-$2,659,000.00",Large Cap Growth Equities,2017-08-31,0.29%,N/A,$0.73,2024-07-01,$0.16,1.46%,12.92,0.92,837,18.39%,40%,20%,1099,$47.72,$50.75,$50.00,$50.39,61.17,B+,C+,B,C,A,A,N/A,6.53,21.30%,49.27%,87.15,9.62%,4.69%
FLRG,Fidelity U.S. Multifactor ETF,"$164,722",22.00%,"38,129",$33.58,-0.21%,1.64%,1.66%,33.48%,11.25%,N/A,"$87,956,513.55","$36,977,219.40","$35,345,860.10","$106,710,457.25","$127,882,115.75","$134,818,510.75",Large Cap Growth Equities,2020-09-15,0.15%,N/A,$0.43,2024-09-20,$0.13,1.28%,14.48,0.87,105,29.03%,40%,20%,1099,$31.73,$34.03,N/A,N/A,61.16,B+,C+,B,N/A,A-,A-,N/A,6.7,49.13%,56.39%,158.69,6.85%,9.59%
ESG,FlexShares STOXX US ESG Select Index Fund,"$162,444",17.36%,"4,780",$135.01,-0.22%,1.52%,2.97%,29.99%,8.80%,15.37%,"-$54,476,877.50","-$6,716,880.00","-$13,364,800.00","-$54,543,942.50","-$60,975,652.50","$21,798,357.50",Large Cap Growth Equities,2016-07-13,0.32%,N/A,$1.50,2024-09-20,$0.41,1.11%,26.32,1.03,261,36.06%,40%,20%,1099,$128.54,$136.21,N/A,N/A,62.28,B+,C+,B,B+,B+,B+,B+,6.52,20.51%,48.79%,53.08,8.90%,2.11%
ESGG,FlexShares STOXX Global ESG Select Index Fund,"$159,239",15.62%,"4,335",$170.79,-0.75%,0.97%,1.48%,28.97%,7.47%,13.43%,"-$36,966,037.50","-$8,607,480.00","-$8,607,480.00","-$36,966,037.50","-$49,749,112.50","-$3,897,867.50",Large Cap Growth Equities,2016-07-13,0.42%,N/A,$2.80,2024-09-20,$0.52,1.64%,23.11,0.96,775,34.77%,40%,20%,1099,$164.12,$173.12,$170.30,$171.78,58.31,B+,C,B,B,A-,B+,A-,6.95,35.49%,67.16%,66.11,10.31%,4.41%
QWLD,SPDR MSCI World StrategicFactors ETF,"$140,923",16.99%,"5,082",$127.81,-0.37%,0.80%,0.57%,28.26%,8.26%,11.78%,"$17,895,716.84",$0.00,$0.00,"$28,415,188.52","$62,945,169.94","$81,280,146.54",Large Cap Growth Equities,2014-06-04,0.30%,N/A,$1.91,2024-06-03,$0.97,1.49%,15.15,0.85,1395,15.91%,40%,20%,1099,$124.45,$129.12,$127.70,$128.02,58.40,A-,C,B,B,A,A,A,7.02,44.11%,70.65%,110.36,7.16%,7.22%
HFGO,Hartford Large Cap Growth ETF,"$131,969",28.97%,"1,757",$21.66,0.19%,3.44%,3.82%,50.89%,N/A,N/A,"$34,870.00",$0.00,"-$77,860.00","$773,150.00","$104,069,021.17","$104,069,021.17",Large Cap Growth Equities,2021-11-09,0.60%,N/A,$0.00,N/A,N/A,0.00%,25.50,1.23,45,62.71%,40%,20%,1099,$19.62,$21.93,$21.66,$21.66,61.00,B-,B+,B,N/A,C,B,N/A,6.37,10.39%,44.37%,26.32,10.72%,11.56%
CHGX,AXS Change Finance ESG ETF,"$130,943",14.73%,"6,106",$38.11,-0.37%,1.30%,1.87%,30.66%,4.99%,12.94%,"-$19,054,152.50",$0.00,"-$52,470.00","-$19,836,802.50","$18,733,772.50","$87,719,772.50",Large Cap Growth Equities,2017-10-09,0.49%,N/A,$0.31,2023-12-18,$0.31,0.82%,20.64,1.05,101,10.89%,40%,20%,1099,$36.56,$38.55,$38.08,$38.14,59.37,B,B,B-,B,B,B-,N/A,7.02,86.15%,70.52%,20.33,1.14%,5.18%
CCOR,Core Alternative ETF,"$128,809",-0.52%,"36,588",$27.10,-0.59%,-0.81%,-0.60%,-2.04%,-1.91%,1.01%,"-$118,051,678.00",$0.00,"$1,107,364.00","-$234,733,213.00","-$45,700,717.00","$66,442,655.37",Large Cap Growth Equities,2017-05-24,1.18%,N/A,$0.31,2024-09-18,$0.07,1.12%,0.04,0.09,42,30.81%,40%,20%,1099,$27.00,$27.73,$27.06,$27.18,51.17,A-,B,C,A,A,A-,N/A,6.57,29.32%,50.69%,255.1,9.74%,1.36%
AESR,Anfield U.S. Equity Sector Rotation ETF,"$128,093",22.30%,"24,263",$16.89,0.00%,2.19%,1.95%,39.60%,8.98%,N/A,"$9,082,250.00",$0.00,$0.00,"-$13,842,000.00","-$4,002,750.00","$83,728,989.97",Large Cap Growth Equities,2019-12-16,1.11%,N/A,$0.03,2023-12-14,$0.03,0.15%,0.05,0.96,25,85.65%,40%,20%,1099,$15.88,$17.09,$16.86,$16.92,59.30,B,B-,C,N/A,A-,B,N/A,6.7,49.56%,56.47%,55.16,6.14%,9.38%
QQXT,First Trust Nasdaq-100 Ex-Technology Sector Index Fund,"$125,623",5.53%,"4,618",$92.45,-0.56%,0.34%,1.30%,16.09%,2.82%,12.36%,"-$57,739,500.00",$0.00,"-$9,186,200.00","-$65,800,350.00","-$34,551,150.00","-$39,362,050.00",Large Cap Growth Equities,2007-02-08,0.60%,N/A,$1.14,2024-06-27,$0.26,1.23%,24.88,0.98,59,17.80%,40%,20%,1099,$89.25,$93.80,$92.21,$92.88,58.53,B-,C+,C+,A-,B+,C+,C+,6.67,39.55%,54.66%,165.78,8.46%,7.98%
OGIG,ALPS O'Shares Global Internet Giants ETF,"$123,820",13.62%,"9,411",$41.48,-0.24%,3.80%,7.75%,38.01%,-9.46%,11.81%,"-$29,702,000.00","-$2,081,000.00","-$5,006,750.00","-$50,431,750.00","-$306,222,310.00","$77,446,640.00",Large Cap Growth Equities,2018-06-05,0.48%,N/A,$0.00,N/A,N/A,0.00%,0.03,-1.82,70,35.74%,40%,20%,1099,$37.25,$41.74,$41.37,$41.61,66.04,B-,B+,B-,A,C,C,N/A,6.25,38.71%,41.97%,14.92,7.07%,1.44%
SOCL,Global X Social Media ETF,"$122,797",2.65%,"9,928",$41.34,-1.03%,7.63%,7.02%,17.25%,-13.02%,5.20%,"-$43,054,429.71","-$8,332,882.54","-$8,332,400.30","-$19,789,212.06","-$150,922,197.92","$32,996,346.52",Large Cap Growth Equities,2011-11-14,0.65%,2 Platforms,$0.16,2024-06-27,$0.10,0.38%,26.53,0.94,48,67.65%,40%,20%,1099,$36.56,$41.09,N/A,N/A,59.32,C,B,C+,B,C,C,C,4.55,18.53%,16.21%,14.02,0.00%,0.02%
MILN,Global X Millennial Consumer ETF,"$118,249",17.84%,"9,112",$41.76,-0.38%,2.60%,5.11%,39.46%,-2.21%,11.38%,"-$13,677,329.40","$1,137.83","-$4,006,876.41","-$15,672,424.23","-$81,908,550.80","$12,005,548.70",Large Cap Growth Equities,2016-05-04,0.50%,N/A,$0.13,2024-06-27,$0.02,0.31%,23.15,1.21,79,33.03%,40%,20%,1099,$38.05,$42.19,N/A,N/A,67.28,C,B-,B-,C,C,C,C+,5.6,2.56%,29.94%,15.05,2.96%,2.86%
MMTM,SPDR S&P 1500 Momentum Tilt ETF,"$113,043",25.11%,"1,372",$251.25,0.06%,2.49%,2.49%,42.14%,11.39%,15.71%,"$739,552.25",$0.00,$0.00,"$2,440,799.79","-$3,528,272.15","$6,282,855.00",Large Cap Growth Equities,2012-10-24,0.12%,N/A,$2.00,2024-09-23,$0.57,0.80%,15.72,0.96,1448,45.03%,40%,20%,1099,$233.71,$254.19,$250.94,$251.85,60.26,B+,C,A-,B-,B+,B,A,6.75,60.23%,58.63%,73.33,11.14%,11.32%
HERO,Global X Video Games & Esports ETF,"$107,877",17.02%,"26,688",$23.56,-0.84%,4.90%,4.71%,29.25%,-5.98%,N/A,"-$43,866,206.46","-$1,818,472.58","-$11,654,784.24","-$67,346,060.39","-$319,076,861.78","$140,997,299.93",Large Cap Growth Equities,2019-10-25,0.50%,N/A,$0.16,2024-06-27,$0.04,0.69%,23.28,0.78,45,55.64%,40%,20%,1099,$21.70,$23.46,N/A,N/A,59.98,B-,B+,B-,N/A,C+,B-,N/A,5.67,48.96%,30.94%,4.99,5.08%,0.07%
VEGN,US Vegan Climate ETF,"$107,474",19.06%,"5,869",$51.15,-0.04%,2.40%,3.48%,36.64%,8.42%,16.34%,"$6,990,270.00","$1,276,020.00","$1,276,020.00","$7,940,472.50","$21,398,732.50","$62,867,830.00",Large Cap Growth Equities,2019-09-09,0.60%,N/A,$0.27,2024-09-10,$0.06,0.52%,0.04,1.10,255,35.96%,40%,20%,1099,$47.88,$51.66,N/A,N/A,61.05,C+,C+,C+,N/A,B-,B-,N/A,7.2,92.41%,78.04%,17.69,2.57%,6.92%
QYLG,Global X Nasdaq 100 Covered Call & Growth ETF,"$103,545",16.04%,"21,738",$32.01,0.25%,1.95%,2.80%,30.18%,7.29%,N/A,"-$13,549,303.56","$2,269.82","-$1,285,301.96","-$20,309,899.06","$59,675,248.68","$93,073,000.92",Large Cap Growth Equities,2020-09-18,0.35%,N/A,$1.84,2024-09-23,$0.18,5.76%,24.41,0.93,103,51.26%,40%,20%,1099,$30.08,$32.31,$31.95,$32.06,60.34,B,B,C+,N/A,B-,A,N/A,6.79,83.12%,60.10%,59.02,7.02%,9.32%
ACSI,American Customer Satisfaction ETF,"$89,854",16.08%,217,$58.00,0.09%,1.68%,2.33%,33.20%,5.34%,12.36%,"$158,500.00",$0.00,$0.00,"$158,500.00","-$2,549,000.00","-$6,571,500.00",Large Cap Growth Equities,2016-11-01,0.65%,N/A,$0.50,2023-12-22,$0.50,0.87%,0.05,1.00,35,46.59%,40%,20%,1099,$55.81,$58.15,$58.00,$58.00,63.57,C+,C,C,C+,B,B-,B,5.98,4.57%,36.39%,95.44,7.44%,1.51%
DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,"$79,490",15.09%,"2,200",$39.00,-0.03%,1.91%,2.46%,32.74%,2.98%,N/A,"-$2,788,493.40","-$388,483.70","-$388,483.70","-$18,108,779.55","-$63,438,916.45","$46,511,383.10",Large Cap Growth Equities,2019-12-26,1.28%,N/A,$0.58,2023-12-26,$0.58,1.48%,0.03,0.91,4,100.00%,40%,20%,1099,$36.82,$39.38,$39.00,$39.00,58.90,N/A,C+,N/A,N/A,A-,C,N/A,6.79,23.10%,60.04%,52.58,10.53%,9.43%
SPYC,Simplify US Equity PLUS Convexity ETF,"$77,222",22.13%,"13,623",$37.47,-0.43%,1.79%,1.82%,36.42%,6.82%,N/A,"-$4,123,825.00",$0.00,$0.00,"-$6,912,625.00","-$33,330,261.81","$47,377,213.19",Large Cap Growth Equities,2020-09-03,0.52%,N/A,$0.41,2024-06-25,$0.10,1.10%,0.03,0.90,6,100.00%,40%,20%,1099,$35.51,$37.96,$37.42,$37.56,58.19,B,B,B,N/A,A-,C+,N/A,6.7,78.09%,56.06%,96.79,10.63%,7.14%
RFDA,RiverFront Dynamic US Dividend Advantage ETF,"$75,529",17.07%,"3,672",$54.74,-0.29%,1.05%,1.15%,29.24%,10.45%,13.67%,"-$10,285,500.00",$0.00,"-$1,364,750.00","-$14,797,250.00","-$68,311,750.00","-$110,497,750.00",Large Cap Growth Equities,2016-06-06,0.52%,N/A,$1.38,2024-09-19,$0.14,2.52%,0.04,0.97,74,41.85%,40%,20%,1099,$51.52,$55.75,$54.68,$54.87,58.63,B,C+,B-,C,A,A-,B-,6.59,32.58%,51.42%,147.73,9.74%,10.58%
MMLG,First Trust Multi-Manager Large Growth ETF,"$69,935",18.74%,"24,991",$28.48,-0.18%,2.82%,3.15%,42.26%,-0.01%,N/A,"$1,836,300.00",$0.00,"-$1,390,950.00","$14,226,550.00","-$73,466,400.00","$78,724,750.00",Large Cap Growth Equities,2020-07-21,0.85%,N/A,$0.00,2020-12-24,$0.06,0.00%,31.91,1.16,78,47.06%,40%,20%,1099,$26.24,$28.86,$28.34,$28.64,59.53,C,B-,C,N/A,C,C,N/A,6.77,62.35%,59.35%,40.31,8.03%,13.18%
